type_test,method,contrast_type,significant_findings,false_discovery,time
rna-seq,edgeR,14BENDDAY~14BEXDARK,4954,495.4,1.254
rna-seq,DESeq2,14BENDDAY~14BEXDARK,9667,966.7,1.447
rna-seq,edgeR,4GENDDAY~4GEXDARK,4476,447.6,1.353
rna-seq,DESeq2,4GENDDAY~4GEXDARK,9236,923.6,1.394
rna-seq,edgeR,COLENDDAY~14BENDDAY,623,62.3,1.323
rna-seq,DESeq2,COLENDDAY~14BENDDAY,4011,401.1,1.027
rna-seq,edgeR,COLEXDARK~4BEXDARK,929,92.9,1.83
rna-seq,DESeq2,COLEXDARK~4BEXDARK,5578,557.8,1.367
rna-seq,edgeR,COLENDDAY~4GENDDAY,15,1.5,1.248
rna-seq,DESeq2,COLENDDAY~4GENDDAY,352,35.2,1.037
rna-seq,edgeR,COLEXDARK~4GEXDARK,2,0.2,1.288
rna-seq,DESeq2,COLEXDARK~4GEXDARK,355,35.5,1.408
rna-seq,edgeR,14BENDDAY~4GENDDAY,1013,101.3,1.813
rna-seq,DESeq2,14BENDDAY~4GENDDAY,5629,562.9,1.37
rna-seq,edgeR,14BEXDARK~4GEXDARK,861,86.1,1.286
rna-seq,DESeq2,14BEXDARK~4GEXDARK,5456,545.6,1.365
ribo-seq,edgeR,14BENDDAY~14BEXDARK,2414,241.4,1.117
ribo-seq,DESeq2,14BENDDAY~14BEXDARK,3385,338.5,1.478
ribo-seq,edgeR,4GENDDAY~4GEXDARK,3210,321,1.635
ribo-seq,DESeq2,4GENDDAY~4GEXDARK,4242,424.2,1.375
ribo-seq,edgeR,COLENDDAY~14BENDDAY,5,0.5,1.043
ribo-seq,DESeq2,COLENDDAY~14BENDDAY,295,29.5,1.609
ribo-seq,edgeR,COLEXDARK~4BEXDARK,589,58.9,1
ribo-seq,DESeq2,COLEXDARK~4BEXDARK,1786,178.6,1.343
ribo-seq,edgeR,COLENDDAY~4GENDDAY,2,0.2,1.044
ribo-seq,DESeq2,COLENDDAY~4GENDDAY,91,9.1,1.017
ribo-seq,edgeR,COLEXDARK~4GEXDARK,1,0.1,1.103
ribo-seq,DESeq2,COLEXDARK~4GEXDARK,25,2.5,1.344
ribo-seq,edgeR,14BENDDAY~4GENDDAY,40,4,1.072
ribo-seq,DESeq2,14BENDDAY~4GENDDAY,502,50.2,1.39
ribo-seq,edgeR,14BEXDARK~4GEXDARK,459,45.9,1.07
ribo-seq,DESeq2,14BEXDARK~4GEXDARK,1425,142.5,1.362